"GEOID","pop_female","pop_male","pop_asian","pop_black","pop_hispanic","pop_native","pop_other","pop_white","pop_65_74","pop_75_84","pop_85_pl","pop25_w_bach","tot_pop25","pct_w_bach","median_hh_inc","hh_below_pl","tot_hh","pct_hh_below_pl"
"370370208022",152,147,1,8,8,0,11,271,231,54,14,456,1061,0.429783223374175,83158,117,580,0.201724137931034
"370370208031",208,130,1,57,12,0,8,260,159,94,85,301,816,0.368872549019608,86284,0,322,0
"370370208032",104,106,4,7,10,0,2,187,148,48,14,478,1112,0.429856115107914,141354,0,610,0
"370630001011",82,70,3,63,8,0,5,73,103,37,12,528,910,0.58021978021978,68558,57,563,0.101243339253996
"370630001012",134,64,0,129,6,0,6,57,132,57,9,499,2057,0.242586290714633,86699,105,859,0.122235157159488
"370630001021",98,111,1,96,29,0,11,72,148,32,29,140,1105,0.126696832579186,41250,108,683,0.158125915080527
"370630001022",60,35,0,14,0,0,2,79,70,17,8,467,602,0.775747508305648,61538,51,376,0.13563829787234
"370630001023",48,35,1,21,2,0,4,55,57,19,7,220,540,0.407407407407407,44130,55,312,0.176282051282051
"370630001024",24,21,0,14,2,0,1,28,29,12,4,93,337,0.275964391691395,62554,9,221,0.0407239819004525
"370630002001",55,39,0,39,5,0,4,46,72,20,2,434,737,0.58887381275441,30400,169,394,0.428934010152284
"370630002002",47,39,1,46,10,0,1,28,63,17,6,385,978,0.393660531697341,48721,63,418,0.150717703349282
"370630002003",63,62,0,25,4,0,7,89,95,21,9,490,695,0.705035971223022,105156,8,331,0.0241691842900302
"370630003011",39,32,0,44,3,0,1,23,53,17,1,347,939,0.369542066027689,37292,197,684,0.288011695906433
"370630003012",49,33,1,51,5,1,1,23,52,24,6,264,627,0.421052631578947,NA,38,423,0.0898345153664303
"370630003013",26,34,2,17,1,1,3,36,46,10,4,490,668,0.733532934131736,48827,13,453,0.0286975717439294
"370630003021",51,49,2,5,2,1,1,89,84,14,2,639,747,0.855421686746988,103889,29,470,0.0617021276595745
"370630003022",63,41,1,20,8,0,2,73,77,20,7,567,849,0.667844522968198,81125,37,459,0.0806100217864924
"370630003023",75,86,7,31,8,1,4,110,119,30,12,651,842,0.773159144893112,83625,138,573,0.240837696335079
"370630004011",82,59,1,19,8,0,6,107,104,19,18,506,695,0.728057553956835,92292,18,457,0.0393873085339169
"370630004012",81,71,3,3,4,0,3,139,122,26,4,416,520,0.8,143750,0,273,0
"370630004013",71,47,4,7,4,0,3,100,81,28,9,376,658,0.571428571428571,101375,58,385,0.150649350649351
"370630004021",74,59,2,16,2,0,9,104,91,32,10,685,953,0.718782791185729,33808,116,761,0.152431011826544
"370630004022",28,26,4,5,4,0,2,39,30,21,3,918,990,0.927272727272727,40905,177,787,0.224904701397713
"370630005001",47,26,3,46,1,0,0,23,35,19,19,14,122,0.114754098360656,11950,122,131,0.931297709923664
"370630005002",113,53,1,33,2,0,1,129,48,45,73,383,696,0.550287356321839,47012,64,340,0.188235294117647
"370630005003",62,38,0,74,1,0,3,22,78,16,6,448,776,0.577319587628866,32148,101,597,0.169179229480737
"370630005004",77,43,1,86,8,0,2,23,75,32,13,220,925,0.237837837837838,26607,226,564,0.400709219858156
"370630006001",68,71,1,3,2,0,0,133,84,47,8,329,467,0.704496788008565,NA,23,250,0.092
"370630006002",93,97,2,54,8,0,8,118,137,39,14,276,997,0.276830491474423,26952,82,704,0.116477272727273
"370630006003",178,98,0,99,15,0,4,158,180,76,20,1397,2277,0.613526570048309,60334,66,1563,0.0422264875239923
"370630007001",90,87,4,101,3,1,6,62,124,41,12,523,1022,0.51174168297456,39591,231,898,0.257238307349666
"370630007002",94,78,1,26,1,0,4,140,122,35,15,789,850,0.928235294117647,130652,19,480,0.0395833333333333
"370630007003",112,88,4,78,3,0,8,107,130,56,14,621,890,0.697752808988764,130536,19,481,0.0395010395010395
"370630009001",35,26,0,46,8,0,2,5,48,9,4,67,582,0.115120274914089,29226,65,335,0.194029850746269
"370630009002",42,46,1,58,11,0,1,17,58,23,7,250,534,0.468164794007491,63750,74,347,0.213256484149856
"370630010011",58,50,0,78,11,0,0,19,69,31,8,238,813,0.292742927429274,46786,70,416,0.168269230769231
"370630010012",72,48,2,90,5,0,0,23,82,32,6,55,790,0.069620253164557,33145,125,436,0.286697247706422
"370630010013",26,25,0,38,6,0,1,6,26,10,15,32,495,0.0646464646464646,26106,94,384,0.244791666666667
"370630010014",43,37,0,57,7,1,2,13,59,20,1,56,418,0.133971291866029,NA,46,275,0.167272727272727
"370630010021",55,53,1,81,10,0,2,14,78,23,7,51,691,0.0738060781476122,18958,181,427,0.423887587822014
"370630010022",34,42,0,57,11,0,3,5,48,23,5,52,468,0.111111111111111,42500,39,284,0.137323943661972
"370630010023",47,57,0,55,23,0,5,21,63,30,11,75,838,0.0894988066825776,28147,171,487,0.351129363449692
"370630010024",51,61,0,90,7,0,2,13,81,27,4,0,658,0,NA,234,423,0.553191489361702
"370630010025",92,71,0,127,10,0,6,20,108,44,11,103,744,0.138440860215054,27021,161,465,0.346236559139785
"370630011001",117,104,5,172,7,0,7,30,145,61,15,119,900,0.132222222222222,20380,209,510,0.409803921568627
"370630011002",40,37,4,42,11,1,5,14,57,11,9,106,324,0.327160493827161,31731,21,244,0.0860655737704918
"370630011003",62,59,1,85,3,0,2,30,84,32,5,128,961,0.133194588969823,24707,203,473,0.429175475687104
"370630013011",56,60,0,101,6,0,2,7,91,13,12,201,681,0.295154185022026,44438,50,417,0.119904076738609
"370630013012",64,57,0,110,3,0,5,3,84,21,16,85,405,0.209876543209877,24615,94,332,0.283132530120482
"370630013031",119,64,2,169,0,0,3,9,99,51,33,557,942,0.591295116772824,53482,66,413,0.159806295399516
"370630013032",79,49,0,117,2,0,2,7,61,49,18,142,524,0.270992366412214,28897,103,305,0.337704918032787
"370630013041",92,50,1,129,1,1,3,7,82,38,22,173,851,0.203290246768508,33472,192,508,0.377952755905512
"370630013042",170,93,0,229,17,1,3,13,166,69,28,254,870,0.291954022988506,33974,127,601,0.211314475873544
"370630014001",39,31,0,60,7,0,3,0,49,13,8,246,749,0.328437917222964,41497,25,521,0.0479846449136276
"370630014002",95,62,0,143,1,0,6,7,98,47,12,105,977,0.107471852610031,19438,357,722,0.494459833795014
"370630015041",43,44,2,60,3,0,5,17,68,16,3,174,612,0.284313725490196,28854,232,515,0.450485436893204
