"GEOID","an_atac_rate","an_gtgc_rate","an_cvddiff1_rate","an_tempdiff2_rate","group","start","amount","end","id","label_loc","color_assignment"
"370850701003",5.78808325608969,13.2373668305227,3.24701058490917,4.20227298952384,"RT Summer Avg. Rate",0,5.78808325608969,5.78808325608969,1,5.78808325608969,"Average"
"370850701003",5.78808325608969,13.2373668305227,3.24701058490917,4.20227298952384,"Health Contribution",5.78808325608969,3.24701058490917,9.03509384099886,2,9.03509384099886,"Large Above"
"370850701003",5.78808325608969,13.2373668305227,3.24701058490917,4.20227298952384,"Heat Contribution",9.03509384099886,4.20227298952384,13.2373668305227,3,13.2373668305227,"Large Above"
"370850701003",5.78808325608969,13.2373668305227,3.24701058490917,4.20227298952384,"CBG Attributable Rate",0,13.2373668305227,13.2373668305227,4,13.2373668305227,"CBG"
"370850703002",5.78808325608969,15.391645910023,3.88063623779033,5.72292641614296,"RT Summer Avg. Rate",0,5.78808325608969,5.78808325608969,1,5.78808325608969,"Average"
"370850703002",5.78808325608969,15.391645910023,3.88063623779033,5.72292641614296,"Health Contribution",5.78808325608969,3.88063623779033,9.66871949388002,2,9.66871949388002,"Large Above"
"370850703002",5.78808325608969,15.391645910023,3.88063623779033,5.72292641614296,"Heat Contribution",9.66871949388002,5.72292641614296,15.391645910023,3,15.391645910023,"Large Above"
"370850703002",5.78808325608969,15.391645910023,3.88063623779033,5.72292641614296,"CBG Attributable Rate",0,15.391645910023,15.391645910023,4,15.391645910023,"CBG"
"370850702001",5.78808325608969,10.8466329544811,2.32896419823628,2.72958550015511,"RT Summer Avg. Rate",0,5.78808325608969,5.78808325608969,1,5.78808325608969,"Average"
"370850702001",5.78808325608969,10.8466329544811,2.32896419823628,2.72958550015511,"Health Contribution",5.78808325608969,2.32896419823628,8.11704745432597,2,8.11704745432597,"Large Above"
"370850702001",5.78808325608969,10.8466329544811,2.32896419823628,2.72958550015511,"Heat Contribution",8.11704745432597,2.72958550015511,10.8466329544811,3,10.8466329544811,"Large Above"
"370850702001",5.78808325608969,10.8466329544811,2.32896419823628,2.72958550015511,"CBG Attributable Rate",0,10.8466329544811,10.8466329544811,4,10.8466329544811,"CBG"
"371830534291",5.78808325608969,5.82408209300577,-0.20878859789783,0.244787434813905,"RT Summer Avg. Rate",0,5.78808325608969,5.78808325608969,1,5.78808325608969,"Average"
"371830534291",5.78808325608969,5.82408209300577,-0.20878859789783,0.244787434813905,"Health Contribution",5.78808325608969,-0.20878859789783,5.57929465819186,2,5.78808325608969,"Small Below"
"371830534291",5.78808325608969,5.82408209300577,-0.20878859789783,0.244787434813905,"Heat Contribution",5.57929465819186,0.244787434813905,5.82408209300577,3,5.82408209300577,"Small Above"
"371830534291",5.78808325608969,5.82408209300577,-0.20878859789783,0.244787434813905,"CBG Attributable Rate",0,5.82408209300577,5.82408209300577,4,5.82408209300577,"CBG"
"371830534321",5.78808325608969,4.8447730031894,-0.88781258886479,-0.0554976640355023,"RT Summer Avg. Rate",0,5.78808325608969,5.78808325608969,1,5.78808325608969,"Average"
"371830534321",5.78808325608969,4.8447730031894,-0.88781258886479,-0.0554976640355023,"Health Contribution",5.78808325608969,-0.88781258886479,4.9002706672249,2,5.78808325608969,"Small Below"
"371830534321",5.78808325608969,4.8447730031894,-0.88781258886479,-0.0554976640355023,"Heat Contribution",4.9002706672249,-0.0554976640355023,4.8447730031894,3,4.9002706672249,"Small Below"
"371830534321",5.78808325608969,4.8447730031894,-0.88781258886479,-0.0554976640355023,"CBG Attributable Rate",0,4.8447730031894,4.8447730031894,4,4.8447730031894,"CBG"
"371830534351",5.78808325608969,4.56213676054053,-1.2336308446088,0.00768434905963697,"RT Summer Avg. Rate",0,5.78808325608969,5.78808325608969,1,5.78808325608969,"Average"
"371830534351",5.78808325608969,4.56213676054053,-1.2336308446088,0.00768434905963697,"Health Contribution",5.78808325608969,-1.2336308446088,4.55445241148089,2,5.78808325608969,"Small Below"
"371830534351",5.78808325608969,4.56213676054053,-1.2336308446088,0.00768434905963697,"Heat Contribution",4.55445241148089,0.00768434905963697,4.56213676054053,3,4.56213676054053,"Small Above"
"371830534351",5.78808325608969,4.56213676054053,-1.2336308446088,0.00768434905963697,"CBG Attributable Rate",0,4.56213676054053,4.56213676054053,4,4.56213676054053,"CBG"
"371830534302",5.78808325608969,6.36799121797093,0.648617524858619,-0.0687095629773862,"RT Summer Avg. Rate",0,5.78808325608969,5.78808325608969,1,5.78808325608969,"Average"
"371830534302",5.78808325608969,6.36799121797093,0.648617524858619,-0.0687095629773862,"Health Contribution",5.78808325608969,0.648617524858619,6.43670078094831,2,6.43670078094831,"Small Above"
"371830534302",5.78808325608969,6.36799121797093,0.648617524858619,-0.0687095629773862,"Heat Contribution",6.43670078094831,-0.0687095629773862,6.36799121797092,3,6.43670078094831,"Small Below"
"371830534302",5.78808325608969,6.36799121797093,0.648617524858619,-0.0687095629773862,"CBG Attributable Rate",0,6.36799121797093,6.36799121797093,4,6.36799121797093,"CBG"
"371830542241",5.78808325608969,4.35958699068521,-1.279330892175,-0.149165373229487,"RT Summer Avg. Rate",0,5.78808325608969,5.78808325608969,1,5.78808325608969,"Average"
"371830542241",5.78808325608969,4.35958699068521,-1.279330892175,-0.149165373229487,"Health Contribution",5.78808325608969,-1.279330892175,4.50875236391469,2,5.78808325608969,"Small Below"
"371830542241",5.78808325608969,4.35958699068521,-1.279330892175,-0.149165373229487,"Heat Contribution",4.50875236391469,-0.149165373229487,4.3595869906852,3,4.50875236391469,"Small Below"
"371830542241",5.78808325608969,4.35958699068521,-1.279330892175,-0.149165373229487,"CBG Attributable Rate",0,4.35958699068521,4.35958699068521,4,4.35958699068521,"CBG"
"371830542231",5.78808325608969,5.67222161317466,0.621236853476989,-0.737098496392028,"RT Summer Avg. Rate",0,5.78808325608969,5.78808325608969,1,5.78808325608969,"Average"
