"GEOID","pop_count","an_atac","an_atgc","an_gtac","an_gtgc","an_cvddiff1","an_tempdiff2","an_atac_rate","an_gtac_rate","an_atgc_rate","an_gtgc_rate","an_cvddiff1_rate","an_tempdiff2_rate"
371830528013,339,0.196216022381441,0.180676514814433,0.217584419232368,0.200352621909766,-0.0155395075670072,0.0196761070953323,5.78808325608969,6.41841944638255,5.32969070249066,5.91010684099604,-0.458392553599032,0.580416138505379
371830528014,173,0.100133840330352,0.118767164126246,0.114935778584447,0.136323508956435,0.0186333237958944,0.0175563448301888,5.78808325608969,6.64368662337845,6.86515399573677,7.87997161597889,1.07707073964707,1.01481762024212
371830528015,181,0.104764306935223,0.208215572272667,0.12290484280965,0.244269283397412,0.103451265337444,0.0360537111247448,5.78808325608969,6.790322807163,11.5036227774954,13.495540519194,5.71553952140574,1.9919177416986
371830528021,298,0.172484881031473,0.206306937794735,0.202121909833582,0.241755405051304,0.0338220567632617,0.0354484672565694,5.78808325608969,6.7826144239457,6.92305160385015,8.11259748494309,1.13496834776046,1.18954588109293
371830528022,110,0.0636689158169866,0.0816109640967832,0.0753128610168332,0.0965362000844841,0.0179420482797966,0.0149252359877009,5.78808325608969,6.84662372880302,7.41917855425302,8.77601818949855,1.63109529816332,1.35683963524554
371830528023,257,0.148753739681505,0.195880191436441,0.164941435492482,0.217196287160542,0.0471264517549358,0.0213160957241016,5.78808325608969,6.41795468842343,7.62179733215723,8.4512173992429,1.83371407606754,0.829420067085665
371830528024,287,0.166117989449774,0.203538744770309,0.173394291836446,0.212454151579999,0.0374207553205349,0.00891540680968961,5.78808325608969,6.04161295597374,7.09194232649161,7.4025836787456,1.30385907040191,0.310641352253994
371830528071,335,0.193900789079005,0.160374649538325,0.20596882090708,0.17035607552549,-0.0335261395406798,0.00998142598716503,5.78808325608969,6.14832301215165,4.78730297129328,5.08525598583552,-1.00078028479641,0.29795301454224
371830528072,267,0.154541822937595,0.173103915939826,0.161681412731346,0.181101045312381,0.0185620930022316,0.00799712937255473,5.78808325608969,6.05548362289686,6.48329273182871,6.78281068585697,0.695209475739013,0.299517954028267
371830528073,137,0.0792967406084288,0.0821961253450277,0.0897222643226182,0.0930028451095976,0.00289938473659892,0.0108067197645698,5.78808325608969,6.54907038851228,5.99971717846918,6.78852884011661,0.211633922379483,0.788811661647433
371830528091,140,0.0810331655852557,0.0912184877812426,0.0829246627347088,0.0933477333607469,0.0101853221959869,0.00212924557950428,5.78808325608969,5.92319019533634,6.51560627008876,6.66769524005335,0.727523013999063,0.152088969964591
371830528092,214,0.123864981680319,0.155847752505687,0.125937952136053,0.158455977866513,0.0319827708253676,0.00260822536082555,5.78808325608969,5.88495103439501,7.2826052572751,7.4044849470333,1.4945220011854,0.121879689758203
371830528101,151,0.0874000571669544,0.0638221468530241,0.102590601900683,0.0749147388741199,-0.0235779103139302,0.0110925920210958,5.78808325608969,6.79407959607173,4.22663224192213,4.96124098504105,-1.56145101416757,0.734608743118924
371830528102,155,0.0897152904693903,0.0970616922242665,0.104640396452643,0.113208951356814,0.0073464017548762,0.0161472591325475,5.78808325608969,6.75099331952534,6.26204465963009,7.30380331334284,0.4739614035404,1.04175865371274
371830528103,98,0.056723215909679,0.0601271652608122,0.0638278392590225,0.0676581357001823,0.00340394935113319,0.00753097043937011,5.78808325608969,6.51304482234923,6.13542502661349,6.90389139797778,0.347341770523795,0.768466371364297
371830528104,156,0.0902940987949992,0.088053069089256,0.102649725870733,0.100102039055839,-0.00224102970574326,0.0120489699665835,5.78808325608969,6.5801106327393,5.64442750572154,6.41679737537433,-0.143655750368158,0.772369869652788
371830528111,93,0.0538291742816342,0.0560610208129746,0.0596910541897787,0.0621659439502736,0.00223184653134043,0.00610492313729899,5.78808325608969,6.41839292363212,6.02806675408329,6.68451010217995,0.239983497993594,0.656443348096666
371830528112,74,0.0428318160950637,0.0371502471563318,0.0512670660866501,0.0444665753110233,-0.00568156893873191,0.00731632815469144,5.78808325608969,6.92798190360137,5.02030366977457,6.00899666365179,-0.767779586315123,0.988692993877221
371830528113,227,0.131389489913236,0.169045726845861,0.156658188863214,0.201556436669522,0.0376562369326245,0.0325107098236619,5.78808325608969,6.90124180014157,7.44694831920091,8.87913817927412,1.65886506311121,1.43218986007321
371830528114,273,0.158014672891249,0.186863762938034,0.177763964974767,0.210218727173719,0.0288490900467856,0.0233549642356845,5.78808325608969,6.51150054852625,6.84482648124668,7.70031967669299,1.05674322515698,0.855493195446318
371830528121,350,0.202582913963139,0.204370598935777,0.2302915168882,0.232323715339753,0.00178768497263777,0.0279531164039755,5.78808325608969,6.57975762537713,5.83915996959363,6.63782043827864,0.0510767135039363,0.798660468685015
371830528122,643,0.372173753366567,0.371502635719377,0.430455038005586,0.429678825363736,-0.000671117647190484,0.0581761896443596,5.78808325608969,6.69447959573228,5.77764596764194,6.68240785946713,-0.0104372884477525,0.904761891825188
371830528131,112,0.0648265324682046,0.0788366074388255,0.0682584196927638,0.0830101816775771,0.0140100749706209,0.00417357423875168,5.78808325608969,6.09450175828248,7.03898280703799,7.41162336406939,1.25089955094829,0.3726405570314
371830528132,200,0.115761665121794,0.0990008270987432,0.116952176329215,0.100018967206533,-0.0167608380230507,0.0010181401077896,5.78808325608969,5.84760881646075,4.95004135493716,5.00094836032664,-0.838041901152534,0.0509070053894801
371830528141,90,0.0520927493048072,0.0470527466898364,0.053297490358233,0.0481409283728957,-0.00504000261497087,0.00108818168305928,5.78808325608969,5.92194337313701,5.22808296553738,5.34899204143285,-0.560000290552318,0.120909075895476
371830528142,292,0.169012031077819,0.189702091861024,0.185802949226344,0.208548515258988,0.0206900607832053,0.0188464233979636,5.78808325608969,6.36311469953232,6.49664698154193,7.1420724403763,0.708563725452236,0.645425458834369
371830528143,411,0.237890221825286,0.233823770825616,0.256700147170801,0.252312162822101,-0.00406645099967064,0.0184883919964848,5.78808325608969,6.24574567325551,5.6891428424724,6.13898206379807,-0.0989404136172906,0.449839221325665
371830528151,337,0.195058405730223,0.204558735754663,0.222676355683931,0.23352181942961,0.00950033002444046,0.0289630836749468,5.78808325608969,6.60760699358846,6.06999215889208,6.9294308436086,0.281908902802388,0.859438684716521
