"GEOID","var","pct","subgroup_type","var_label","pct_round","area"
"371830534351","pct_white",0.846863468634686,"Race","White",84.7,"CBG"
"371830534351","pct_65_74",0.682656826568266,"Age","65-74",68.3,"CBG"
"371830534351","pct_75_84",0.243542435424354,"Age","75-64",24.4,"CBG"
"371830534351","pct_85_pl",0.0738007380073801,"Age","85+",7.4,"CBG"
"371830534351","pct_below_pl",0,"Poverty + Education","HHs Below PL",0,"CBG"
"371830534351","pct_w_bach",0.693258030356513,"Poverty + Education","Bachelor's +",69.3,"CBG"
"371830534302","pct_male",0.424418604651163,"Sex","Male",42.4,"CBG"
"371830534302","pct_female",0.575581395348837,"Sex","Female",57.6,"CBG"
"371830534302","pct_asian",0.0697674418604651,"Race","Asian",7,"CBG"
"371830534302","pct_black",0.0523255813953488,"Race","Black",5.2,"CBG"
"371830534302","pct_hispanic",0.0116279069767442,"Race","Hisp.",1.2,"CBG"
"371830534302","pct_native",0,"Race","Native American",0,"CBG"
"371830534302","pct_other",0.0116279069767442,"Race","Other",1.2,"CBG"
"371830534302","pct_white",0.854651162790698,"Race","White",85.5,"CBG"
"371830534302","pct_65_74",0.424418604651163,"Age","65-74",42.4,"CBG"
"371830534302","pct_75_84",0.488372093023256,"Age","75-64",48.8,"CBG"
"371830534302","pct_85_pl",0.0872093023255814,"Age","85+",8.7,"CBG"
"371830534302","pct_below_pl",0,"Poverty + Education","HHs Below PL",0,"CBG"
"371830534302","pct_w_bach",0.558823529411765,"Poverty + Education","Bachelor's +",55.9,"CBG"
"371830542241","pct_male",0.446327683615819,"Sex","Male",44.6,"CBG"
"371830542241","pct_female",0.553672316384181,"Sex","Female",55.4,"CBG"
"371830542241","pct_asian",0.0395480225988701,"Race","Asian",4,"CBG"
"371830542241","pct_black",0.220338983050847,"Race","Black",22,"CBG"
"371830542241","pct_hispanic",0.0677966101694915,"Race","Hisp.",6.8,"CBG"
"371830542241","pct_native",0.00564971751412429,"Race","Native American",0.6,"CBG"
"371830542241","pct_other",0.0338983050847458,"Race","Other",3.4,"CBG"
"371830542241","pct_white",0.632768361581921,"Race","White",63.3,"CBG"
"371830542241","pct_65_74",0.768361581920904,"Age","65-74",76.8,"CBG"
"371830542241","pct_75_84",0.180790960451977,"Age","75-64",18.1,"CBG"
"371830542241","pct_85_pl",0.0508474576271186,"Age","85+",5.1,"CBG"
"371830542241","pct_below_pl",0.0609756097560976,"Poverty + Education","HHs Below PL",6.1,"CBG"
"371830542241","pct_w_bach",0.505545286506469,"Poverty + Education","Bachelor's +",50.6,"CBG"
"371830542231","pct_male",0.379446640316206,"Sex","Male",37.9,"CBG"
"371830542231","pct_female",0.620553359683794,"Sex","Female",62.1,"CBG"
"371830542231","pct_asian",0.0158102766798419,"Race","Asian",1.6,"CBG"
"371830542231","pct_black",0.308300395256917,"Race","Black",30.8,"CBG"
"371830542231","pct_hispanic",0.0553359683794466,"Race","Hisp.",5.5,"CBG"
"371830542231","pct_native",0,"Race","Native American",0,"CBG"
"371830542231","pct_other",0.0118577075098814,"Race","Other",1.2,"CBG"
"371830542231","pct_white",0.608695652173913,"Race","White",60.9,"CBG"
"371830542231","pct_65_74",0.596837944664032,"Age","65-74",59.7,"CBG"
"371830542231","pct_75_84",0.300395256916996,"Age","75-64",30,"CBG"
"371830542231","pct_85_pl",0.102766798418972,"Age","85+",10.3,"CBG"
"371830542231","pct_below_pl",0.104575163398693,"Poverty + Education","HHs Below PL",10.5,"CBG"
"371830542231","pct_w_bach",0.390129259694477,"Poverty + Education","Bachelor's +",39,"CBG"
"371830534343","pct_male",0.405940594059406,"Sex","Male",40.6,"CBG"
"371830534343","pct_female",0.594059405940594,"Sex","Female",59.4,"CBG"
"371830534343","pct_asian",0.0363036303630363,"Race","Asian",3.6,"CBG"
"371830534343","pct_black",0.240924092409241,"Race","Black",24.1,"CBG"
"371830534343","pct_hispanic",0.0396039603960396,"Race","Hisp.",4,"CBG"
"371830534343","pct_native",0,"Race","Native American",0,"CBG"
"371830534343","pct_other",0.0132013201320132,"Race","Other",1.3,"CBG"
"371830534343","pct_white",0.66996699669967,"Race","White",67,"CBG"
"371830534343","pct_65_74",0.65016501650165,"Age","65-74",65,"CBG"
"371830534343","pct_75_84",0.247524752475248,"Age","75-64",24.8,"CBG"
"371830534343","pct_85_pl",0.102310231023102,"Age","85+",10.2,"CBG"
"371830534343","pct_below_pl",0.0674904942965779,"Poverty + Education","HHs Below PL",6.7,"CBG"
"371830534343","pct_w_bach",0.525399129172714,"Poverty + Education","Bachelor's +",52.5,"CBG"
"371830542242","pct_male",0.463414634146341,"Sex","Male",46.3,"CBG"
"371830542242","pct_female",0.536585365853659,"Sex","Female",53.7,"CBG"
"371830542242","pct_asian",0.016260162601626,"Race","Asian",1.6,"CBG"
"371830542242","pct_black",0.560975609756098,"Race","Black",56.1,"CBG"
"371830542242","pct_hispanic",0,"Race","Hisp.",0,"CBG"
"371830542242","pct_native",0,"Race","Native American",0,"CBG"
"371830542242","pct_other",0.00813008130081301,"Race","Other",0.8,"CBG"
"371830542242","pct_white",0.414634146341463,"Race","White",41.5,"CBG"
"371830542242","pct_65_74",0.666666666666667,"Age","65-74",66.7,"CBG"
"371830542242","pct_75_84",0.211382113821138,"Age","75-64",21.1,"CBG"
"371830542242","pct_85_pl",0.121951219512195,"Age","85+",12.2,"CBG"
"371830542242","pct_below_pl",0.0601941747572816,"Poverty + Education","HHs Below PL",6,"CBG"
"371830542242","pct_w_bach",0.0878701050620821,"Poverty + Education","Bachelor's +",8.8,"CBG"
"371830534312","pct_male",0.427777777777778,"Sex","Male",42.8,"CBG"
"371830534312","pct_female",0.572222222222222,"Sex","Female",57.2,"CBG"
"371830534312","pct_asian",0.133333333333333,"Race","Asian",13.3,"CBG"
"371830534312","pct_black",0.355555555555556,"Race","Black",35.6,"CBG"
"371830534312","pct_hispanic",0.0444444444444444,"Race","Hisp.",4.4,"CBG"
"371830534312","pct_native",0,"Race","Native American",0,"CBG"
"371830534312","pct_other",0.0111111111111111,"Race","Other",1.1,"CBG"
"371830534312","pct_white",0.455555555555556,"Race","White",45.6,"CBG"
"371830534312","pct_65_74",0.705555555555556,"Age","65-74",70.6,"CBG"
"371830534312","pct_75_84",0.238888888888889,"Age","75-64",23.9,"CBG"
"371830534312","pct_85_pl",0.0555555555555556,"Age","85+",5.6,"CBG"
"371830534312","pct_below_pl",0.0727580372250423,"Poverty + Education","HHs Below PL",7.3,"CBG"
"371830534312","pct_w_bach",0.507225433526012,"Poverty + Education","Bachelor's +",50.7,"CBG"
"371830534332","pct_male",0.398876404494382,"Sex","Male",39.9,"CBG"
"371830534332","pct_female",0.601123595505618,"Sex","Female",60.1,"CBG"
"371830534332","pct_asian",0.050561797752809,"Race","Asian",5.1,"CBG"
"371830534332","pct_black",0.050561797752809,"Race","Black",5.1,"CBG"
"371830534332","pct_hispanic",0.0337078651685393,"Race","Hisp.",3.4,"CBG"
"371830534332","pct_native",0,"Race","Native American",0,"CBG"
